"CÓDIGO";"PRODUCTO";"CATEGORÍA";"Unidad de medida";"Cantidad x pres.";"Peso X presentación";"MINORISTA                   Precio x presentación";"MINORISTA         Precio Unitario";"MAYORISTA                   Precio x presentación";"MAYORISTA         Precio Unitario3";"DISTRIBUIDOR                   Precio x presentación";"DISTRIBUIDOR         Precio Unitario3";;
"CGSABO7C";"Arroz Blanco Orgánico ""Schatzi"" x 750 Grs. CAJA x 12u.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"CAJA";12;9,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CGSGOM4U";"Granola Orgánica con Manzana ""Schatzi"" x 400 Grs.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"UNIDAD";1;0,40;" $9.451,78 ";" $9.451,78 ";" $7.876,48 ";" $7.876,48 ";" $6.301,19 ";" $6.301,19 ";;
"CGSGOM4C";"Granola Orgánica con Manzana ""Schatzi"" x 400 Grs. CAJA x 8u.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"CAJA";8;3,20;" $72.515,31 ";" $9.064,41 ";" $60.429,43 ";" $7.553,68 ";" $48.343,54 ";" $6.042,94 ";;
"CGSGOM1U";"Granola Orgánica con Manzana ""Schatzi"" x 1,5 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSA";1;1,50;" $24.613,53 ";" $24.613,53 ";" $20.511,27 ";" $20.511,27 ";" $16.409,02 ";" $16.409,02 ";;
"CGSGID4U";"Granola Integral Desayuno ""Schatzi"" x 400 Grs.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"UNIDAD";1;0,40;" $10.468,92 ";" $10.468,92 ";" $8.724,10 ";" $8.724,10 ";" $6.979,28 ";" $6.979,28 ";;
"CGSGID4C";"Granola Integral Desayuno ""Schatzi"" x 400 Grs. CAJA x 8U.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"CAJA";8;3,20;" $80.318,95 ";" $10.039,87 ";" $66.932,46 ";" $8.366,56 ";" $53.545,97 ";" $6.693,25 ";;
"CGSGID1U";"Granola Integral Desayuno ""Schatzi"" x 1,5 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSA";1;1,50;" $29.602,29 ";" $29.602,29 ";" $24.668,57 ";" $24.668,57 ";" $19.734,86 ";" $19.734,86 ";;
"CGSGP4U";"Granola Potencia ""Schatzi"" x 400 Grs.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"UNIDAD";1;0,40;" $11.254,53 ";" $11.254,53 ";" $9.378,77 ";" $9.378,77 ";" $7.503,02 ";" $7.503,02 ";;
"CGSGP4C";"Granola Potencia ""Schatzi"" x 400 Grs. CAJA x 8U.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"CAJA";8;3,20;" $86.346,22 ";" $10.793,28 ";" $71.955,18 ";" $8.994,40 ";" $57.564,15 ";" $7.195,52 ";;
"CGSGP1U";"Granola Potencia ""Schatzi"" x 1,5 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSA";1;1,50;" $33.198,60 ";" $33.198,60 ";" $27.665,50 ";" $27.665,50 ";" $22.132,40 ";" $22.132,40 ";;
"CGSPSTO2U";"Proteina de soja texturizada Orgánica ""Schatzi"" x 200 Grs.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"UNIDAD";1;0,20;" $3.905,00 ";" $3.905,00 ";" $3.254,16 ";" $3.254,16 ";" $2.603,33 ";" $2.603,33 ";;
"CGSPSTO2C";"Proteina de soja texturizada Orgánica ""Schatzi"" x 200 Grs. CAJA x 9";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"CAJA";9;1,80;" $33.704,60 ";" $3.744,96 ";" $28.087,17 ";" $3.120,80 ";" $22.469,73 ";" $2.496,64 ";;
"CGSPSTO1U";"Proteina de soja texturizada Orgánica ""Schatzi"" x 1 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSA";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CGSCMSAZ";"Copos de maiz SIN AZUCAR";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSA";3,5;3,50;" $11.792,06 ";" $3.369,16 ";" $9.826,72 ";" $2.807,63 ";" $7.861,38 ";" $2.246,11 ";;
"CGSCMCAZ";"Copos de maiz CON AZUCAR";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSA";4;4,00;" $18.276,00 ";" $4.569,00 ";" $15.230,00 ";" $3.807,50 ";" $12.184,00 ";" $3.046,00 ";;
"CGSSCT1";"Semilla de Chia TRADICIONAL x 1 kg ";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"KG";1;1,00;" $3.900,00 ";" $3.900,00 ";" $3.250,00 ";" $3.250,00 ";" $2.600,00 ";" $2.600,00 ";;
"CGSSCT25";"Semilla de Chia TRADICIONAL x 25 kg ";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSÓN";25;25,00;" $87.000,00 ";" $3.480,00 ";" $72.500,00 ";" $2.900,00 ";" $58.000,00 ";" $2.320,00 ";;
