"CÓDIGO";"PRODUCTO";"CATEGORÍA";"Unidad de medida";"Cantidad x pres.";"Peso X presentación";"MINORISTA                   Precio x presentación";"MINORISTA         Precio Unitario";"MAYORISTA                   Precio x presentación";"MAYORISTA         Precio Unitario3";"DISTRIBUIDOR                   Precio x presentación";"DISTRIBUIDOR         Precio Unitario3";;
"MMG1";"Mix Grace x 1 Kg.(pasa rubias y negras, caju, nuez, almendra,mani,girasol)";"M I X E S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"MMG10";"Mix Grace x 10kg.(pasa rubias y negras, caju, nuez, almendra,mani,girasol)";"M I X E S";"PACK";10;10,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"MMEC1";"Mix economico x 6 Kg.(mani,pasas rubias y negras, caju, nuez, almendra)";"M I X E S";"KG";6;1,00;" $34.060,13 ";" $5.676,69 ";" $28.383,44 ";" $4.730,57 ";" $22.706,75 ";" $3.784,46 ";;
"MMEC12";"Mix economico x 12 Kg.(mani,pasas rubias y negras, caju, nuez, almendra)";"M I X E S";"PACK";12;12,00;" $65.750,85 ";" $5.479,24 ";" $54.792,38 ";" $4.566,03 ";" $43.833,90 ";" $3.652,83 ";;
"MMECC1";"Mix CARLA x 5 Kg.(mani, pasas rubias y negras, nuez, almendra)";"M I X E S";"KG";5;1,00;" $29.275,80 ";" $5.855,16 ";" $24.396,50 ";" $4.879,30 ";" $19.517,20 ";" $3.903,44 ";;
"MMECC10";"Mix CARLA x 10 Kg.(mani, pasas rubias y negras, nuez, almendra)";"M I X E S";"PACK";10;10,00;" $57.063,00 ";" $5.706,30 ";" $47.552,50 ";" $4.755,25 ";" $38.042,00 ";" $3.804,20 ";;
"MMST5";"Mix de Semillas x 5 Kg. (Sesamo, girasol, lino marron)";"M I X E S";"KG";5;5,00;" $15.750,00 ";" $3.150,00 ";" $13.125,00 ";" $2.625,00 ";" $10.500,00 ";" $2.100,00 ";;
"AACS32501";"Aceite de coco  ""SITARAM"" X 250 cc.";"A C E I T E S";"UNIDAD";1;0,25;" $5.717,25 ";" $5.717,25 ";" $4.764,38 ";" $4.764,38 ";" $3.811,50 ";" $3.811,50 ";;
"AACS25012";"Aceite de coco  ""SITARAM"" X 250 cc. Pack x 20";"A C E I T E S";"PACK";20;5,00;" $109.620,00 ";" $5.481,00 ";" $91.350,00 ";" $4.567,50 ";" $73.080,00 ";" $3.654,00 ";;
"AACS3601";"Aceite de coco  ""SITARAM"" X 360 cc.";"A C E I T E S";"UNIDAD";1;0,36;" $7.024,05 ";" $7.024,05 ";" $5.853,38 ";" $5.853,38 ";" $4.682,70 ";" $4.682,70 ";;
"AACS36012";"Aceite de coco  ""SITARAM"" X 360 cc. Pack x 20";"A C E I T E S";"PACK";20;7,20;" $134.676,00 ";" $6.733,80 ";" $112.230,00 ";" $5.611,50 ";" $89.784,00 ";" $4.489,20 ";;
"AACS6601";"Aceite de coco  ""SITARAM"" X 660 cc.";"A C E I T E S";"UNIDAD";1;0,66;" $11.035,20 ";" $11.035,20 ";" $9.196,00 ";" $9.196,00 ";" $7.356,80 ";" $7.356,80 ";;
"AACS66012";"Aceite de coco virgen ""SITARAM"" X 660 cc. Pack x 12";"A C E I T E S";"PACK";12;7,92;" $126.950,40 ";" $10.579,20 ";" $105.792,00 ";" $8.816,00 ";" $84.633,60 ";" $7.052,80 ";;
"AACV2501";"Aceite de coco ""VALLE ORGÁNICO"" x Bot. 250 Cc.";"A C E I T E S";"UNIDAD";1;0,25;" $5.099,10 ";" $5.099,10 ";" $4.249,25 ";" $4.249,25 ";" $3.399,40 ";" $3.399,40 ";;
"AACV250P";"Aceite de coco ""VALLE ORGÁNICO"" x Bot. 250 Cc. PACK x 20u.";"A C E I T E S";"PACK";20;20,00;" $97.548,00 ";" $4.877,40 ";" $81.290,00 ";" $4.064,50 ";" $65.032,00 ";" $3.251,60 ";;
"AACV3601";"Aceite de coco ""VALLE ORGÁNICO"" x Frasco 360 Cc.";"A C E I T E S";"UNIDAD";1;0,36;" $7.069,43 ";" $7.069,43 ";" $5.891,19 ";" $5.891,19 ";" $4.712,95 ";" $4.712,95 ";;
"AACV360P";"Aceite de coco ""VALLE ORGÁNICO"" x Frasco 360 Cc. PACK x 20 u.";"A C E I T E S";"PACK";20;20,00;" $135.546,00 ";" $6.777,30 ";" $112.955,00 ";" $5.647,75 ";" $90.364,00 ";" $4.518,20 ";;
"AAOSNP11";"Aceite de Oliva ""SAN NICOLAS"" x Pet 250 Cc.";"A C E I T E S";"UNIDAD";1;0,25;" $8.178,12 ";" $8.178,12 ";" $6.815,10 ";" $6.815,10 ";" $5.452,08 ";" $5.452,08 ";;
"AAOSNP12";"Aceite de Oliva ""SAN NICOLAS"" x Pet 250 Cc. Pack x 20u.";"A C E I T E S";"PACK";20;20,00;" $156.572,56 ";" $7.828,63 ";" $130.477,13 ";" $6.523,86 ";" $104.381,71 ";" $5.219,09 ";;
"AAOSNP21";"Aceite de Oliva ""SAN NICOLAS"" x Pet 500 Cc.";"A C E I T E S";"UNIDAD";1;0,50;" $14.886,13 ";" $14.886,13 ";" $12.405,11 ";" $12.405,11 ";" $9.924,09 ";" $9.924,09 ";;
"AAOSNP22";"Aceite de Oliva ""SAN NICOLAS"" x Pet 500 Cc. Pack x 20 u.";"A C E I T E S";"PACK";20;20,00;" $284.999,43 ";" $14.249,97 ";" $237.499,52 ";" $11.874,98 ";" $189.999,62 ";" $9.499,98 ";;
"AAOSNP31";"Aceite de Oliva ""SAN NICOLAS"" x Pet 1 Lt.";"A C E I T E S";"UNIDAD";1;1,00;" $27.138,36 ";" $27.138,36 ";" $22.615,30 ";" $22.615,30 ";" $18.092,24 ";" $18.092,24 ";;
"AAOSNP32";"Aceite de Oliva ""SAN NICOLAS"" x Pet 1 Lt. Pack x 12u.";"A C E I T E S";"PACK";12;12,00;" $311.743,21 ";" $25.978,60 ";" $259.786,01 ";" $21.648,83 ";" $207.828,81 ";" $17.319,07 ";;
"AAOSNP41";"Aceite de Oliva ""SAN NICOLAS"" x Pet 2 Lts.";"A C E I T E S";"UNIDAD";1;2,00;" $51.987,54 ";" $51.987,54 ";" $43.322,95 ";" $43.322,95 ";" $34.658,36 ";" $34.658,36 ";;
"AAOSNP42";"Aceite de Oliva ""SAN NICOLS"" x Pet 2 Lts. Pack x 6u";"A C E I T E S";"PACK";6;12,00;" $298.595,08 ";" $49.765,85 ";" $248.829,24 ";" $41.471,54 ";" $199.063,39 ";" $33.177,23 ";;
"AAOSNP51";"Aceite OLIVA ""SAN NICOLAS"" x Pet 5 Lts.";"A C E I T E S";"UNIDAD";1;5,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"AAOSNP52";"Aceite OLIVA ""SAN NICOLAS"" x Pet 5 Lts. CAJA x 2 U.";"A C E I T E S";"PACK";2;10,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"AAOSNV11";"Aceite de Oliva ""SAN NICOLAS"" x Vidrio 250 Cc.";"A C E I T E S";"UNIDAD";1;0,25;" $9.273,14 ";" $9.273,14 ";" $7.727,61 ";" $7.727,61 ";" $6.182,09 ";" $6.182,09 ";;
"AAOSNV12";"Aceite de Oliva ""SAN NICOLAS"" x Vidrio 250 Cc. Pack x 20 u.";"A C E I T E S";"PACK";20;5,00;" $174.553,14 ";" $8.727,66 ";" $145.460,95 ";" $7.273,05 ";" $116.368,76 ";" $5.818,44 ";;
"AAOSNV21";"Aceite de Oliva ""SAN NICOLAS"" x Vidrio 500 Cc.";"A C E I T E S";"UNIDAD";1;0,50;" $15.534,85 ";" $15.534,85 ";" $12.945,71 ";" $12.945,71 ";" $10.356,57 ";" $10.356,57 ";;
"AAOSNV22";"Aceite de Oliva ""SAN NICOLÁS"" x Vidrio 500 Cc. Pack x 20 u.";"A C E I T E S";"PACK";20;10,00;" $297.419,44 ";" $14.870,97 ";" $247.849,54 ";" $12.392,48 ";" $198.279,63 ";" $9.913,98 ";;
"AAOSNV31";"Aceite de Oliva ""SAN NICOLÁS"" x Vidrio 1 Lt.";"A C E I T E S";"UNIDAD";1;1,00;" $31.069,67 ";" $31.069,67 ";" $25.891,39 ";" $25.891,39 ";" $20.713,11 ";" $20.713,11 ";;
"AAOSNV32";"Aceite de Oliva ""SAN NICOLAS"" x Vidrio 1 Lt. Pack x 12 u.";"A C E I T E S";"PACK";12;12,00;" $356.902,83 ";" $29.741,90 ";" $297.419,03 ";" $24.784,92 ";" $237.935,22 ";" $19.827,94 ";;
"AGALCC11";"Aceite GIRASOL  ""CAMPO CLARO"" Vidrio x 500 Cc.";"A C E I T E S";"UNIDAD";1;0,50;" $3.350,58 ";" $3.350,58 ";" $2.792,15 ";" $2.792,15 ";" $2.233,72 ";" $2.233,72 ";;
"AGALCC12";"Aceite GIRASOL  ""CAMPO CLARO"" Vidrio x 500 Cc. Caja x 10u.";"A C E I T E S";"PACK";10;5,00;" $32.165,55 ";" $3.216,56 ";" $26.804,63 ";" $2.680,46 ";" $21.443,70 ";" $2.144,37 ";;
"AGALCC21";"Aceite GIRASOL  ""CAMPO CLARO"" Vidrio x 1 Lt.";"A C E I T E S";"UNIDAD";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"AGALCC22";"Aceite GIRASOL  ""CAMPO CLARO"" Vidrio x 1 Lt. Caja x 6 u.";"A C E I T E S";"PACK";6;6,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"ALCC11";"Aceite LINO "" CAMPO CLARO"" x 250 Cc.";"A C E I T E S";"UNIDAD";1;0,25;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"ALCC12";"Aceite LINO "" CAMPO CLARO"" x 250 Cc. Caja x 10";"A C E I T E S";"CAJA";10;2,50;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CVEAA1";"Veggianito ""ESENIA"" - Albahaca y Ajo";"C O N S E R V A S";"UNIDAD";1;0,21;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CVEAC1";"Veggianito ""ESENIA"" - Ajo y Cebolla";"C O N S E R V A S";"UNIDAD";1;0,21;" $1.381,55 ";" $1.381,55 ";" $1.151,29 ";" $1.151,29 ";" $921,03 ";" $921,03 ";;
"CVEAN1";"Veggianito ""ESENIA"" - Algas Nori";"C O N S E R V A S";"UNIDAD";1;0,21;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CVECU1";"Veggianito ""ESENIA"" - Cúrcuma";"C O N S E R V A S";"UNIDAD";1;0,21;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CVEPC1";"Veggianito ""ESENIA"" - Pimienta de Cayena";"C O N S E R V A S";"UNIDAD";1;0,21;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CVESU5";"Veggianito ""ESENIA""  SURTIDO x 5";"C O N S E R V A S";"PACK";5;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CMCC11";"Miel organica ""CAMPO CLARO"" x 500 gr.";"C O N S E R V A S";"UNIDAD";1;0,50;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CMCC12";"Miel organica ""CAMPO CLARO"" x 500 gr. Caja x 10 U.";"C O N S E R V A S";"CAJA";10;5,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CMSN11";"Miel ""SAN NICOLAS"" Orgánica x 500 ml.";"C O N S E R V A S";"UNIDAD";1;0,50;" $6.838,70 ";" $6.838,70 ";" $5.698,92 ";" $5.698,92 ";" $4.559,13 ";" $4.559,13 ";;
"CMSN12";"Miel ""SAN NICOLAS"" Orgánica x 500 ml. CAJA x 12 u.";"C O N S E R V A S";"CAJA";12;6,00;" $79.209,99 ";" $6.600,83 ";" $66.008,33 ";" $5.500,69 ";" $52.806,66 ";" $4.400,56 ";;
"CMSN21";"Miel ""SAN NICOLAS"" Orgánica x 1 Kg.";"C O N S E R V A S";"UNIDAD";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CMSN22";"Miel ""SAN NICOLAS"" Orgánica x 1 Kg. CAJA x 6 u.";"C O N S E R V A S";"CAJA";6;6,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CSRF1";"Sal Rosada FINA del himalaya x 1 Kg.";"C O N S E R V A S";"KG";1;1,00;" $2.437,50 ";" $2.437,50 ";" $2.031,25 ";" $2.031,25 ";" $1.625,00 ";" $1.625,00 ";;
"CSRF25";"Sal Rosada FINA del himalaya x 25 Kg.";"C O N S E R V A S";"BOLSÓN";25;25,00;" $58.500,00 ";" $2.340,00 ";" $48.750,00 ";" $1.950,00 ";" $39.000,00 ";" $1.560,00 ";;
"CSRG1";"Sal Rosada GRUESA del himalaya x 1 Kg.";"C O N S E R V A S";"KG";1;1,00;" $2.745,00 ";" $2.745,00 ";" $2.287,50 ";" $2.287,50 ";" $1.830,00 ";" $1.830,00 ";;
"CSRG25";"Sal Rosada GRUESA del himalaya x 25 Kg.";"C O N S E R V A S";"BOLSÓN";25;25,00;" $66.375,00 ";" $2.655,00 ";" $55.312,50 ";" $2.212,50 ";" $44.250,00 ";" $1.770,00 ";;
"CAN11";"Aceitunas NEGRAS Orgánicas ""SAN NICOLÁS"" X 250 grs.";"C O N S E R V A S";"UNIDAD";1;0,25;" $3.373,01 ";" $3.373,01 ";" $2.810,84 ";" $2.810,84 ";" $2.248,67 ";" $2.248,67 ";;
"CAN12";"Aceitunas NEGRAS Orgánicas ""SAN NICOLÁS"" X 250 grs. CAJA x 12u.";"C O N S E R V A S";"CAJA";12;3,00;" $38.746,37 ";" $3.228,86 ";" $32.288,64 ";" $2.690,72 ";" $25.830,92 ";" $2.152,58 ";;
"CAV11";"Aceitunas Verdes Orgánicas ""SAN NICOLÁS"" x 250 grs.";"C O N S E R V A S";"UNIDAD";1;0,25;" $3.165,25 ";" $3.165,25 ";" $2.637,71 ";" $2.637,71 ";" $2.110,16 ";" $2.110,16 ";;
"CAV12";"Aceitunas Verdes Orgánicas ""SAN NICOLÁS"" x 250 grs. CAJA x 12 u.";"C O N S E R V A S";"CAJA";12;3,00;" $36.359,77 ";" $3.029,98 ";" $30.299,80 ";" $2.524,98 ";" $24.239,84 ";" $2.019,99 ";;
"CAV21";"Aceitunas Verdes Orgánicas ""SAN NICOLÁS"" x 500 grs.";"C O N S E R V A S";"UNIDAD";1;0,50;" $5.019,60 ";" $5.019,60 ";" $4.183,00 ";" $4.183,00 ";" $3.346,40 ";" $3.346,40 ";;
"CAV22";"Aceitunas Verdes Orgánicas ""SAN NICOLÁS"" x 500 grs. CAJA x 6 u";"C O N S E R V A S";"CAJA";6;3,00;" $28.830,51 ";" $4.805,09 ";" $24.025,43 ";" $4.004,24 ";" $19.220,34 ";" $3.203,39 ";;
"CAV31";"Aceitunas Verdes Orgánicas ""SAN NICOLÁS"" x 1 Kg.";"C O N S E R V A S";"UNIDAD";1;1,00;" $7.826,16 ";" $7.826,16 ";" $6.521,80 ";" $6.521,80 ";" $5.217,44 ";" $5.217,44 ";;
"CAV32";"Aceitunas Verdes Orgánicas ""SAN NICOLÁS"" x 1 Kg. CAJA x 2 u.";"C O N S E R V A S";"CAJA";2;2,00;" $14.983,42 ";" $7.491,71 ";" $12.486,18 ";" $6.243,09 ";" $9.988,94 ";" $4.994,47 ";;
"CTTSN21";"Tomate triturado Orgánico ""SAN NICOLÁS"" x Bot 1 Lt.";"C O N S E R V A S";"UNIDAD";1;1,00;" $5.946,99 ";" $5.946,99 ";" $4.955,83 ";" $4.955,83 ";" $3.964,66 ";" $3.964,66 ";;
"CTTSN22";"Tomate triturado Orgánico ""SAN NICOLÁS"" x Pack 10";"C O N S E R V A S";"PACK";10;10,00;" $56.928,48 ";" $5.692,85 ";" $47.440,40 ";" $4.744,04 ";" $37.952,32 ";" $3.795,23 ";;
"CCF1";"Café de Brasil - Molido Fino x 250 Gr";"C A F É";"UNIDAD";1;0,25;" $7.440,12 ";" $7.440,12 ";" $6.200,10 ";" $6.200,10 ";" $4.960,08 ";" $4.960,08 ";;
"CCF2";"Café de Brasil - Molido Medio x 250 Gr";"C A F É";"UNIDAD";1;0,25;" $7.440,12 ";" $7.440,12 ";" $6.200,10 ";" $6.200,10 ";" $4.960,08 ";" $4.960,08 ";;
"CCG1";"Café de Brasil - Molido Grueso x 250 Gr";"C A F É";"UNIDAD";1;0,25;" $7.440,12 ";" $7.440,12 ";" $6.200,10 ";" $6.200,10 ";" $4.960,08 ";" $4.960,08 ";;
"CCG2";"Café de Brasil - Grano x 250 Gr";"C A F É";"UNIDAD";1;0,25;" $7.440,12 ";" $7.440,12 ";" $6.200,10 ";" $6.200,10 ";" $4.960,08 ";" $4.960,08 ";;
"YYTO1";"Yerba Taihang orgánica x u. 500 Gr";"Y E R B A S";"UNIDAD";1;0,50;" $3.691,71 ";" $3.691,71 ";" $3.076,43 ";" $3.076,43 ";" $2.461,14 ";" $2.461,14 ";;
"YYTO2";"Yerba Taihang orgánica x Pack 10 u. 500 Gr.";"Y E R B A S";"PACK";10;5,00;" $35.352,86 ";" $3.535,29 ";" $29.460,71 ";" $2.946,07 ";" $23.568,57 ";" $2.356,86 ";;
"YYA1";"Yerba Ajedrez x u. 500 Gr.";"Y E R B A S";"UNIDAD";1;0,50;" $2.292,57 ";" $2.292,57 ";" $1.910,48 ";" $1.910,48 ";" $1.528,38 ";" $1.528,38 ";;
"YYA2";"Yerba Ajedrez x Pack 10 u. 500 Gr.";"Y E R B A S";"PACK";10;5,00;" $21.954,29 ";" $2.195,43 ";" $18.295,24 ";" $1.829,52 ";" $14.636,19 ";" $1.463,62 ";;
"YYIO1";"Yerba IVU orgánica x u. 500 Gr.";"Y E R B A S";"UNIDAD";1;0,50;" $4.612,50 ";" $4.612,50 ";" $3.843,75 ";" $3.843,75 ";" $3.075,00 ";" $3.075,00 ";;
"YYIO2";"Yerba IVU orgánica x Pack 10 u. 500 Gr.";"Y E R B A S";"PACK";10;5,00;" $44.250,00 ";" $4.425,00 ";" $36.875,00 ";" $3.687,50 ";" $29.500,00 ";" $2.950,00 ";;
"YYLO1";"Yerba Legado orgánica x u. 500 Gr.";"Y E R B A S";"UNIDAD";1;0,50;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"YYLO2";"Yerba Legado orgánica x Pack 12 u. 500 Gr.";"Y E R B A S";"PACK";12;6,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CALC1";"Almendras con chocolate ""COLONIAL"" x 1 Kg.";"C H O C O L A T E S";"UNIDAD";1;1,00;" $31.395,00 ";" $31.395,00 ";" $26.162,50 ";" $26.162,50 ";" $20.930,00 ";" $20.930,00 ";;
"CALC2";"Almendras con chocolate ""COLONIAL"" CAJA X 10";"C H O C O L A T E S";"CAJA";10;10,00;" $303.030,00 ";" $30.303,00 ";" $252.525,00 ";" $25.252,50 ";" $202.020,00 ";" $20.202,00 ";;
"CAVC1";"Avellana con Chocolate ""COLONIAL"" x 1 Kg.";"C H O C O L A T E S";"UNIDAD";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CAVC2";"Avellana con Chocolate ""COLONIAL"" CAJA x 10 u.";"C H O C O L A T E S";"CAJA";10;10,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CMC1";"Mani con chocolate ""COLONIAL"" x 1 Kg.";"C H O C O L A T E S";"UNIDAD";1;1,00;" $20.958,75 ";" $20.958,75 ";" $17.465,63 ";" $17.465,63 ";" $13.972,50 ";" $13.972,50 ";;
"CMC2";"Mani con chocolate ""COLONIAL"" CAJA x 10 u.";"C H O C O L A T E S";"CAJA";10;10,00;" $202.297,50 ";" $20.229,75 ";" $168.581,25 ";" $16.858,13 ";" $134.865,00 ";" $13.486,50 ";;
"CPC1";"Pasas con chocolate ""COLONIAL"" x 1 Kg.";"C H O C O L A T E S";"UNIDAD";1;1,00;" $19.837,50 ";" $19.837,50 ";" $16.531,25 ";" $16.531,25 ";" $13.225,00 ";" $13.225,00 ";;
"CPC2";"Pasas con chocolate ""COLONIAL"" CAJA x 10 u.";"C H O C O L A T E S";"CAJA";10;10,00;" $191.475,00 ";" $19.147,50 ";" $159.562,50 ";" $15.956,25 ";" $127.650,00 ";" $12.765,00 ";;
"CCTC1";"Chocolate p/ Taza ""COLONIAL"" x 1 Kg.";"C H O C O L A T E S";"KG";1;1,00;" $25.875,00 ";" $25.875,00 ";" $21.562,50 ";" $21.562,50 ";" $17.250,00 ";" $17.250,00 ";;
"CCTC6";"Chocolate p/ Taza ""COLONIAL"" CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;6,00;" $149.850,00 ";" $24.975,00 ";" $124.875,00 ";" $20.812,50 ";" $99.900,00 ";" $16.650,00 ";;
"CCSAC1";"Chocolate s/ azucar ""COLONIAL"" x 1 Kg.";"C H O C O L A T E S";"KG";1;1,00;" $31.222,50 ";" $31.222,50 ";" $26.018,75 ";" $26.018,75 ";" $20.815,00 ";" $20.815,00 ";;
"CCSAC6";"Chocolate s/ azucar ""COLONIAL"" CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;6,00;" $180.819,00 ";" $30.136,50 ";" $150.682,50 ";" $25.113,75 ";" $120.546,00 ";" $20.091,00 ";;
"CCCS1";"Chocolate c/ stevia ""COLONIAL"" x 1 Kg.";"C H O C O L A T E S";"KG";1;1,00;" $33.206,25 ";" $33.206,25 ";" $27.671,88 ";" $27.671,88 ";" $22.137,50 ";" $22.137,50 ";;
"CCCS6";"Chocolate c/ stevia ""COLONIAL"" CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;6,00;" $192.307,50 ";" $32.051,25 ";" $160.256,25 ";" $26.709,38 ";" $128.205,00 ";" $21.367,50 ";;
"CC70O11";"Chocolate 70% Organico x 1 kg";"C H O C O L A T E S";"KG";1;1,00;" $42.245,25 ";" $42.245,25 ";" $35.204,38 ";" $35.204,38 ";" $28.163,50 ";" $28.163,50 ";;
"CC70O16";"Chocolate 70% Organico CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;6,00;" $244.655,10 ";" $40.775,85 ";" $203.879,25 ";" $33.979,88 ";" $163.103,40 ";" $27.183,90 ";;
"CC80O1";"Chocolate 80% Organico x 1 kg";"C H O C O L A T E S";"KG";1;1,00;" $45.522,75 ";" $45.522,75 ";" $37.935,63 ";" $37.935,63 ";" $30.348,50 ";" $30.348,50 ";;
"CC80O6";"Chocolate 80% Organico CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;6,00;" $263.636,10 ";" $43.939,35 ";" $219.696,75 ";" $36.616,13 ";" $175.757,40 ";" $29.292,90 ";;
"CC70O21";"Chocolatinas %70 Organico 50u*16gr";"C H O C O L A T E S";"KG";50;0,80;" $28.790,25 ";" $575,81 ";" $23.991,88 ";" $479,84 ";" $19.193,50 ";" $383,87 ";;
"CC70P26";"Chocolatinas %70 Organico CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;4,80;" $166.733,10 ";" $27.788,85 ";" $138.944,25 ";" $23.157,38 ";" $111.155,40 ";" $18.525,90 ";;
"CA1001001";"Almendras con chocolate ""ARGENFRUT"" x 1 Kg.";"C H O C O L A T E S";"KG";1;1,00;" $22.249,52 ";" $22.249,52 ";" $18.541,26 ";" $18.541,26 ";" $14.833,01 ";" $14.833,01 ";;
"CA1001006";"Almendras con chocolate ""ARGENFRUT"" CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;6,00;" $127.792,09 ";" $21.298,68 ";" $106.493,41 ";" $17.748,90 ";" $85.194,73 ";" $14.199,12 ";;
"CA1011001";"Avellana con Chocolate ""ARGENFRUT"" x 1 Kg.";"C H O C O L A T E S";"KG";1;1,00;" $22.400,61 ";" $22.400,61 ";" $18.667,17 ";" $18.667,17 ";" $14.933,74 ";" $14.933,74 ";;
"CA1011006";"Avellana con Chocolate ""ARGENFRUT"" CAJA X 5u.";"C H O C O L A T E S";"CAJA";5;5,00;" $107.216,58 ";" $21.443,32 ";" $89.347,15 ";" $17.869,43 ";" $71.477,72 ";" $14.295,54 ";;
"CA1111001";"Mani con chocolate ""ARGENFRUT"" x 1 Kg.";"C H O C O L A T E S";"KG";1;1,00;" $10.828,13 ";" $10.828,13 ";" $9.023,44 ";" $9.023,44 ";" $7.218,75 ";" $7.218,75 ";;
"CA1111006";"Mani con chocolate ""ARGENFRUT"" CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;6,00;" $62.192,34 ";" $10.365,39 ";" $51.826,95 ";" $8.637,82 ";" $41.461,56 ";" $6.910,26 ";;
"CA1021001";"Pasas con chocolate ""ARGENFRUT"" x 1 Kg.";"C H O C O L A T E S";"KG";1;1,00;" $14.077,03 ";" $14.077,03 ";" $11.730,86 ";" $11.730,86 ";" $9.384,69 ";" $9.384,69 ";;
"CA1021006";"Pasas con chocolate ""ARGENFRUT"" CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;6,00;" $80.852,71 ";" $13.475,45 ";" $67.377,26 ";" $11.229,54 ";" $53.901,81 ";" $8.983,63 ";;
"CA1032001";"Cramberry con chocolate ""ARGENFRUT"" x 1 Kg.";"C H O C O L A T E S";"KG";1;1,00;" $18.327,49 ";" $18.327,49 ";" $15.272,91 ";" $15.272,91 ";" $12.218,33 ";" $12.218,33 ";;
"CA1032006";"Cramberry con chocolate ""ARGENFRUT"" CAJA X 6u.";"C H O C O L A T E S";"CAJA";6;6,00;" $105.265,58 ";" $17.544,26 ";" $87.721,32 ";" $14.620,22 ";" $70.177,05 ";" $11.696,18 ";;
"CA1081001";"Bananita de cereal - Chocolate con leche ""ARGENFRUT"" x 600g ";"C H O C O L A T E S";"UNIDAD";1;0,60;" $10.741,98 ";" $10.741,98 ";" $8.951,65 ";" $8.951,65 ";" $7.161,32 ";" $7.161,32 ";;
"CA1081006";"Bananita de cereal - Chocolate con leche ""ARGENFRUT"" x 600g  Caja x 9U.";"C H O C O L A T E S";"CAJA";9;5,40;" $92.546,27 ";" $10.282,92 ";" $77.121,89 ";" $8.569,10 ";" $61.697,51 ";" $6.855,28 ";;
"CA1141001";"Botones de chocolate ""ARGENFRUT""x1kg";"C H O C O L A T E S";"UNIDAD";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CA1141006";"Botones de chocolate ""ARGENFRUT"" Caja x6";"C H O C O L A T E S";"CAJA";6;6,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CA1061001";"Cereal con chocolate ""ARGENFRUT"" x 700 Grs.";"C H O C O L A T E S";"UNIDAD";1;0,70;" $10.689,29 ";" $10.689,29 ";" $8.907,74 ";" $8.907,74 ";" $7.126,19 ";" $7.126,19 ";;
"CA1061006";"Cereal con chocolate ""ARGENFRUT"" CAJA X 9u.";"C H O C O L A T E S";"CAJA";9;6,30;" $92.092,37 ";" $10.232,49 ";" $76.743,64 ";" $8.527,07 ";" $61.394,91 ";" $6.821,66 ";;
"CA1171001";"Lentejas de chocolate ""ARGENFRUT"" x 1 Kg.";"C H O C O L A T E S";"KG";1;1,00;" $14.299,01 ";" $14.299,01 ";" $11.915,84 ";" $11.915,84 ";" $9.532,67 ";" $9.532,67 ";;
"CA1171007";"Lentejas de chocolate ""ARGENFRUT"" CAJA x 10 Kg.";"C H O C O L A T E S";"CAJA";10;10,00;" $136.879,40 ";" $13.687,94 ";" $114.066,17 ";" $11.406,62 ";" $91.252,93 ";" $9.125,29 ";;
